product_id,product_name,variant,focus,seo_title
GR-001,Garden Rake,1,核心大词,Garden Rake Heavy Duty 14-Tine Steel Leaf Rake for Lawn Garden Soil Leveling and Debris Clearing
GR-001,Garden Rake,2,材质优势,Carbon Steel Garden Rake with Wooden Handle Polished Finish 14-Tine Lawn Rake for Professional Use
GR-001,Garden Rake,3,使用场景,14-Tine Garden Rake for Leaf Gathering Soil Leveling Garden Cleanup with Ergonomic Wooden Handle
GR-001,Garden Rake,4,规格参数,35cm 14-Tine Steel Garden Rake 0.52kg Lightweight HRC 40-45 Hardness with Polished Surface
GR-001,Garden Rake,5,长尾精准词,Heavy Duty Carbon Steel 14-Tine Garden Leaf Rake Hardwood Handle for Lawn Maintenance and Soil Cultivation
HT-001,Garden Hoe,1,核心大词,Garden Hoe Heavy Duty Weeding Hoe with Carbon Steel Blade and Hardwood Handle for Garden Weed Control
HT-001,Garden Hoe,2,材质优势,Carbon Steel Garden Hoe with Anti-Rust Coating Polished Hardwood Handle Weeding Tool for Farm and Garden
HT-001,Garden Hoe,3,使用场景,Garden Weeding Hoe for Soil Breaking Row Making and Weed Removal with Sharp Steel Blade and Wood Handle
HT-001,Garden Hoe,4,规格参数,35cm Garden Hoe 0.7kg HRC 45-50 Hardness Steel Blade with Hardwood Handle for Professional Weeding
HT-001,Garden Hoe,5,长尾精准词,Heavy Duty Carbon Steel Weeding Hoe with Anti-Rust Coating Hardwood Handle for Garden Soil Cultivation
GF-001,Garden Fork,1,核心大词,Garden Fork Heavy Duty Digging Fork 4-Tine Carbon Steel with Ash Wood Handle for Soil Cultivation
GF-001,Garden Fork,2,材质优势,Carbon Steel Garden Fork with Ergonomic Ash Wood Handle Polished and Lacquered Finish for Durability
GF-001,Garden Fork,3,使用场景,4-Tine Garden Fork for Soil Turning Compost Mixing and Lawn Aeration with Strong Steel Tines
GF-001,Garden Fork,4,规格参数,30cm 4-Tine Steel Garden Fork 0.8kg HRC 45-50 Hardness with Polished Lacquered Finish
GF-001,Garden Fork,5,长尾精准词,Heavy Duty Forged Carbon Steel Garden Digging Fork 4 Tines Ergonomic Ash Wood Handle for Professional Landscaping
GS-001,Garden Spade,1,核心大词,Garden Spade Heavy Duty Digging Spade with Carbon Steel Blade and FSC Certified Hardwood Handle
GS-001,Garden Spade,2,材质优势,Carbon Steel Garden Spade with FSC Certified Hardwood Handle Epoxy Coated for Rust Resistance
GS-001,Garden Spade,3,使用场景,Garden Spade for Transplanting Edging and Trenching with Lightweight Carbon Steel Blade 0.6kg
GS-001,Garden Spade,4,规格参数,28cm Garden Spade 0.6kg HRC 42-48 Hardness Steel Blade with FSC Hardwood Handle Lightweight Design
GS-001,Garden Spade,5,长尾精准词,FSC Certified Garden Digging Spade with Epoxy Coated Carbon Steel Blade Lightweight Transplanting Shovel for Professional Gardeners
