product_id,product_name,variant,focus,seo_title
GF-001,Garden Fork,1,核心大词,"Garden Fork Heavy Duty 4-Tine Carbon Steel with Ergonomic Ash Wood Handle for Soil Turning and Composting"
GF-001,Garden Fork,2,材质优势,"Steel Garden Fork with Forged Carbon Steel Head and Solid Ash Wood Handle for Heavy Duty Digging"
GF-001,Garden Fork,3,使用场景,"4-Tine Digging Fork for Garden Soil Aeration Compost Turning and Raised Bed Preparation"
GF-001,Garden Fork,4,规格参数,"Garden Fork 4-Tine 30cm 0.8kg Lightweight Steel Head with Comfortable Wooden Grip for All-Day Use"
GF-001,Garden Fork,5,长尾精准词,"Heavy Duty Forged Carbon Steel Garden Digging Fork with Ash Wood Handle for Professional Soil Cultivation"
GS-001,Garden Spade,1,核心大词,"Garden Spade Heavy Duty Carbon Steel Blade with Hardwood Handle for Digging and Transplanting"
GS-001,Garden Spade,2,材质优势,"Carbon Steel Garden Spade with Forged Blade and D-Grip Hardwood Handle for Long-Lasting Garden Work"
GS-001,Garden Spade,3,使用场景,"Transplanting Spade for Edging Trenching and Precision Soil Lifting with Comfort Grip Handle"
GS-001,Garden Spade,4,规格参数,"Garden Spade 28cm 0.6kg Lightweight Steel Blade with Hardwood D-Handle for Efficient Digging"
GS-001,Garden Spade,5,长尾精准词,"Professional Carbon Steel Transplanting Garden Spade with Hardwood Handle for Precise Edging and Trenching"
GR-001,Garden Rake,1,核心大词,"Garden Rake Heavy Duty 14-Tine Steel Head with Wooden Handle for Lawn Leaf Gathering Soil Leveling"
GR-001,Garden Rake,2,材质优势,"Steel Garden Rake with Polished Carbon Steel Head and Ergonomic Wooden Handle for Durable Lawn Care"
GR-001,Garden Rake,3,使用场景,"14-Tine Lawn Rake for Leaf Gathering Soil Leveling and Garden Debris Clearing with Comfort Grip Handle"
GR-001,Garden Rake,4,规格参数,"14-Tine Garden Rake 30cm 0.52kg Lightweight Steel Head Rake for Efficient Lawn and Garden Maintenance"
GR-001,Garden Rake,5,长尾精准词,"Heavy Duty Carbon Steel Garden Leaf Rake with 14 Tines and Wooden Handle for Professional Landscaping"
HT-001,Garden Hoe,1,核心大词,"Garden Hoe Heavy Duty Carbon Steel Blade with Wooden Handle for Weeding and Soil Cultivation"
HT-001,Garden Hoe,2,材质优势,"Heat Treated Steel Garden Hoe with Forged Blade and Solid Wood Handle for Long-Lasting Weeding"
HT-001,Garden Hoe,3,使用场景,"Weeding Hoe for Soil Breaking Row Making and Seedbed Preparation with Comfortable Long Handle"
HT-001,Garden Hoe,4,规格参数,"Garden Hoe 15cm Blade 35cm 0.7kg Carbon Steel Head with Ergonomic Wooden Handle for Garden Maintenance"
HT-001,Garden Hoe,5,长尾精准词,"Heavy Duty Forged Carbon Steel Weeding Garden Hoe with Heat Treated Blade and Wooden Handle for Precision Cultivation"
SH-001,Round Point Shovel,1,核心大词,"Round Point Shovel Heavy Duty Carbon Steel Blade with Fiberglass Handle for Digging and Planting"
SH-001,Round Point Shovel,2,材质优势,"Steel Shovel with Powder Coated Carbon Steel Blade and Reinforced Fiberglass Handle for Maximum Durability"
SH-001,Round Point Shovel,3,使用场景,"Digging Shovel for Loading Soil Planting Trees and Trenching with Non-Slip Comfort Grip"
SH-001,Round Point Shovel,4,规格参数,"Round Point Shovel 20cm Blade 40cm 1.2kg Heavy Duty Steel with Fiberglass Handle for Professional Use"
SH-001,Round Point Shovel,5,长尾精准词,"Heavy Duty Powder Coated Carbon Steel Round Point Digging Shovel with Fiberglass Handle for Landscape Construction"
